"filename", "language", "JavaScript", "JSON", "XML", "CSS", "HTML", "Log", "comment", "blank", "total"
"d:\Java\Brain\my-app\App.js", "JavaScript", 20, 0, 0, 0, 0, 0, 17, 17, 54
"d:\Java\Brain\my-app\app.json", "JSON", 0, 22, 0, 0, 0, 0, 11, 0, 33
"d:\Java\Brain\my-app\babel.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Java\Brain\my-app\coverage\clover.xml", "XML", 0, 0, 227, 0, 0, 0, 0, 1, 228
"d:\Java\Brain\my-app\coverage\coverage-final.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 1, 20
"d:\Java\Brain\my-app\coverage\lcov-report\api\argMiddle.js.html", "HTML", 0, 0, 0, 0, 84, 0, 0, 14, 98
"d:\Java\Brain\my-app\coverage\lcov-report\api\category\catView.js.html", "HTML", 0, 0, 0, 0, 260, 0, 0, 15, 275
"d:\Java\Brain\my-app\coverage\lcov-report\api\category\category.js.html", "HTML", 0, 0, 0, 0, 266, 0, 0, 15, 281
"d:\Java\Brain\my-app\coverage\lcov-report\api\category\index.html", "HTML", 0, 0, 0, 0, 125, 0, 0, 16, 141
"d:\Java\Brain\my-app\coverage\lcov-report\api\category\symbChildren.js.html", "HTML", 0, 0, 0, 0, 186, 0, 0, 14, 200
"d:\Java\Brain\my-app\coverage\lcov-report\api\fetch\fetchData.js.html", "HTML", 0, 0, 0, 0, 200, 0, 0, 15, 215
"d:\Java\Brain\my-app\coverage\lcov-report\api\fetch\index.html", "HTML", 0, 0, 0, 0, 111, 0, 0, 15, 126
"d:\Java\Brain\my-app\coverage\lcov-report\api\fetch\middleWareFetch.js.html", "HTML", 0, 0, 0, 0, 246, 0, 0, 20, 266
"d:\Java\Brain\my-app\coverage\lcov-report\api\index.html", "HTML", 0, 0, 0, 0, 97, 0, 0, 14, 111
"d:\Java\Brain\my-app\coverage\lcov-report\api\sid\index.html", "HTML", 0, 0, 0, 0, 111, 0, 0, 15, 126
"d:\Java\Brain\my-app\coverage\lcov-report\api\sid\sid.js.html", "HTML", 0, 0, 0, 0, 141, 0, 0, 14, 155
"d:\Java\Brain\my-app\coverage\lcov-report\api\sid\timeStamp.js.html", "HTML", 0, 0, 0, 0, 198, 0, 0, 14, 212
"d:\Java\Brain\my-app\coverage\lcov-report\base.css", "CSS", 0, 0, 0, 203, 0, 0, 9, 13, 225
"d:\Java\Brain\my-app\coverage\lcov-report\block-navigation.js", "JavaScript", 60, 0, 0, 0, 0, 0, 6, 14, 80
"d:\Java\Brain\my-app\coverage\lcov-report\components\AlertMessageCmp.js.html", "HTML", 0, 0, 0, 0, 153, 0, 0, 14, 167
"d:\Java\Brain\my-app\coverage\lcov-report\components\HeaderCmp.js.html", "HTML", 0, 0, 0, 0, 281, 0, 0, 15, 296
"d:\Java\Brain\my-app\coverage\lcov-report\components\index.html", "HTML", 0, 0, 0, 0, 111, 0, 0, 15, 126
"d:\Java\Brain\my-app\coverage\lcov-report\constants\authorizConst.js.html", "HTML", 0, 0, 0, 0, 153, 0, 0, 14, 167
"d:\Java\Brain\my-app\coverage\lcov-report\constants\categoryConst.js.html", "HTML", 0, 0, 0, 0, 117, 0, 0, 14, 131
"d:\Java\Brain\my-app\coverage\lcov-report\constants\errorConst.js.html", "HTML", 0, 0, 0, 0, 147, 0, 0, 14, 161
"d:\Java\Brain\my-app\coverage\lcov-report\constants\headerConst.js.html", "HTML", 0, 0, 0, 0, 102, 0, 0, 14, 116
